企业名称, 法定代表人, 注册资本(元), 注册资金币种, 所属省份,电话,类别
深圳市纺织（集团）股份有限公司,朱军,51127415,元人民币,广东,0755-83776802,纺织
新疆天山毛纺织股份有限公司,武宪章,46749537,元人民币,新疆,0991-4336008,纺织
咸阳纺织集团有限公司,范振华,40000000,元人民币,陕西,029-32085010,纺织
江苏金润纺织有限公司,宋珺,80000000,元人民币,江苏,0510-86120582,纺织
浙江新澳纺织股份有限公司,沈建华,51174639,元人民币,浙江,0573-88226060,纺织
江苏华西村纺织服装有限公司,赵明春,50000000,元人民币,江苏,0510-86216228,纺织
鲁泰纺织股份有限公司,刘子斌,85812154,元人民币,山东,0533-5278431,纺织
上海嘉麟杰纺织品股份有限公司,王忠辉,83200000,元人民币,上海,021-37330000,纺织
安徽华茂纺织股份有限公司,倪俊龙,94366501,元人民币,安徽,0556-5919892,纺织
山东天虹纺织有限公司,杜东超,70000000,元人民币,山东,0537-3361666,纺织
广州纺织工贸企业集团有限公司,林虎,73483300,元人民币,广东,020-83348898,纺织
江苏德源纺织服饰有限公司,陶建新,50000000,元人民币,江苏,0510-86121237,纺织
新疆金纺纺织股份有限公司,阿德江·达吾提,42101874,元人民币,新疆,0991-4875459,纺织
新疆东纯兴纺织有限公司,凌力,100000000,元人民币,新疆,0998-6575690,纺织
广州市泽达棉麻纺织品有限公司,张立娜,433000000,元人民币,广东,18868819914,纺织
阿拉尔市中泰纺织科技有限公司,王彦波,60000000,元人民币,新疆,0997-6869538,纺织
广东瑞仑特纺织有限公司,吴伟龙,40000000,元人民币,广东,0769-88329761,纺织
新疆喀什齐鲁纺织服装有限公司,李保仓,44240000,元人民币,新疆,0998-5839111,纺织
武汉裕大华纺织服装集团有限公司,万由顺,60000000,元人民币,湖北,027-88222725,纺织
雅戈尔纺织控股有限公司,李如成,55000000,元人民币,浙江,0574-56577168,纺织
图木舒克市东湖兴纺织有限公司,凌力,50000000,元人民币,新疆,0998-6393007,纺织
宁夏恒丰纺织科技股份有限公司,米恩强,40670000,元人民币,宁夏,0953-6595032,纺织
咸阳秦雅纺织有限公司,范振华,100000000,元人民币,陕西,029-32085091,纺织
佛山市丰宝纺织有限公司,钟伟盛,45000000,元人民币,广东,0757-82125693,纺织
图木舒克市前海棉纺织有限责任公司,粟爱民,48106830,元人民币,新疆,18799504135,纺织
宁夏生态纺织产业有限公司,王恩清,50000000,元人民币,宁夏,13909579030,纺织
江阴赛维毛纺织有限公司,陈丽芬,48122738,元人民币,江苏,0510-86121888,纺织
图木舒克市东恒兴纺织科技有限公司,凌力,60000000,元人民币,新疆,0998-6393007,纺织
大同市中银纺织科技有限公司,冯文明,100000000,元人民币,山西,0352-5323899,纺织
湖北嘉麟杰纺织品有限公司,黄伟国,45000000,元人民币,湖北,0715-6909090,纺织
济宁如意纺织材料有限公司,孙卫婴,100000000,元人民币,山东,0537-2933039,纺织
新疆六孚纺织工业园有限公司,孙伟挺,67650000,元人民币,新疆,0994-6805220,纺织
济宁如意国际纺织发展有限公司,孙卫婴,50000000,元人民币,山东,0537-2933039,纺织
南通市通州区港飞纺织科技有限公司,张春燕,40000000,元人民币,江苏,0513-86821686,纺织
吉林德惟智能纺织科技股份有限公司,周朋举,100000000,元人民币,吉林,18954207979,纺织
中纺丝路（天津）纺织服装科技有限公司,郑继平,60000000,元人民币,天津,010-87934057,纺织
经纬智能纺织机械有限公司,高林郁,140000000,元人民币,山西,0354-2492001,纺织
本溪钢铁（集团）有限责任公司,杨成广,629166880,元人民币,辽宁,024-47828766,钢铁
湖南华菱钢铁股份有限公司,曹志强,612907721,元人民币,湖南,0731-89952811,钢铁
涞源县奥宇钢铁有限公司,丁立国,27000000,元人民币,河北,0312-7843118,钢铁
重庆永航钢铁集团有限公司,秦涛,26000000,元人民币,重庆,023-40714615,钢铁
